abel,m
absolon,m
achille,m
adam,m
adélaïde,f
adèle,f
adeline,f
adolphe,m
adrien,m
adrienne,f
agathe,f
agnès,f
aimé,m
aimée,f
alain,m
albert,m
albertine,f
alexandre,m
alexandrie,f
alexis,m
alfred,m
alice,f
aline,f
alison,f,m
alphonse,m
alphonsine,f
amarante,f
amaury,m
ambre,f
ambroise,m
amédée,m
amélie,f
anastasie,f
anatole,m
andré,m
andrée,f
angèle,f
angeline,f
angelique,f
anne,f
annette,f
annick,f
anselme,m
antoine,m
antoinette,f
apollinaire,m
apolline,f
ariane,f
arianne,f
arienne,f
aristide,m
arlette,f
armand,m
armel,m
armelle,f
arnaud,m
arnaude,f
aude,f
auguste,m
augustin,m
aurèle,m
aurélie,f
aurelien,m
aurore,f
avril,f
axelle,f
baptiste,m
barbara,f
barnabé,m
barthélémy,m
basile,m
bastien,m
baudouin,m
béatrice,f
bénédicte,f
benjamin,m
benjamine,f
benoit,m
benoite,f
bernadette,f
bernard,m
bernardine,f
berthe,f
bertrand,m
blaise,m
blanche,f
boniface,m
boudicca,f
brice,m
brigitte,f
cadeyrn,m
camille,f,m
carine,f
carole,f
caroline,f
catherine,f
cécile,f
céleste,f
célestin,m
célestine,f
céline,f
cerise,f
cesaire,m
césar,m
chantal,f
chanté,f
charles,m
charline,f
charlot,m
charlotte,f
chloé,f
christelle,f
christian,m
christiane,f
christianne,f
christine,f
christophe,m
claire,f
clarice,f
clarisse,f
claude,m,f
claudette,f
claudine,f
clémence,f
clément,m
clementine,f
clothilde,f
colette,f
colombain,m
colombe,m,f
constance,f
constant,m
constantin,m
corentin,m
corin,m
corinne,f
cosette,f
cunégonde,f
cyrille,m,f
damien,m
daniel,m
danièle,f
danielle,f
david,m
delphine,f
denis,m
denise,f
dennis,m
désiré,m
désirée,f
diane,f
dianne,f
didier,m
dieudonné,m
dieudonnée,f
diodore,m
dion,m
dominique,f,m
donat,m
donatien,m
donatienne,f
doriane,f
dorothée,f
edgar,m
edgard,m
édith,f
edmond,m
édouard,m
edwige,f
eléonore,f
éliane,f
élise,f
élodie,f
eloi,m
éloise,f
emeline,f
émile,m
émilie,f
émilien,m
emma,f
emmanuel,m
emmanuelle,f
eric,m
ermenegilde,m
erwan,m
esmé,m,f
esmée,f
esther,f
étienne,m
eugène,m
eugénie,f
eulalie,f
eustache,m
évariste,m
eve,f
evette,f
evrard,m
fabien,m
fabienne,f
fabrice,m
faustine,f
félicie,f
felicien,m
felicienne,f
félix,m
fernand,m
fernande,f
fiacre,m
fifi,f
firmin,m
flavie,f
florence,f,m
florentin,m
florette,f
florianne,f
francine,f
franck,m
françois,m
françoise,f
franseza,f
frédéric,m
frédérique,f
gabriel,m
gabrielle,f
gaétan,m
gaetane,f
gaspard,m
gaston,m
gautier,m
geneviève,f
geoffroi,m
georges,m
georgette,f
georgine,f
gérald,m
gérard,m
géraud,m
germain,m
germaine,f
gervais,m
gervaise,f
ghislain,m
ghislaine,f
gigi,f
gilbert,m
gilberte,f
gilles,m
gisèle,f
giselle,f
gisselle,f
godelieve,m
gratien,m
grégoire,m
guillaume,m
gustave,m
guy,m
gwenaelle,f
gwilherm,m
gwrtheyrn,m
hannah,f
hector,m
hélène,f
héloïse,f
henri,m
henriette,f
hercule,m
hermine,f
hervé,m
hilaire,m
honoré,m
honorine,f
horace,m
hortense,f
hugues,m
hyacinthe,f
ignace,m
inès,f
iréné,m
irène,f
irénée,f
isabel,f
isabelle,f
isidore,m
jacinthe,f
jacqueline,f
jacques,m
jean,m
jean-baptiste,m
jeanine,f
jean-marie,m
jeanne,f
jeannette,f
jeannine,f
jeannot,m
jérémie,m
jérôme,m
joachim,m
joceline,f
joël,m
joelle,f
jolie,f
josée,f
joseph,m
josèphe,f
joséphine,f
josette,f
josiane,f
josue,m
jourdain,m
judith,f
jules,m
juliane,f
julie,f
julien,m
julienne,f
juliette,f
juste,m
justin,m
justine,f
katarin,f
lambert,m
laure,f
laurence,f
laurent,m
laurentine,f
laurette,f
lazare,m
léa,f
léandre,m
léon,m
léonard,m
léonce,m
léonie,f
léonne,f
léontine,f
léopold,m
liane,f
lionel,m
lisette,f
loic,m
lothaire,m
louis,m
louise,f
loup,m
luc,m
luce,f
lucie,f
lucien,m
lucienne,f
lucile,f
lucille,f
lucinde,f
lucrece,f
lunete,f
lydie,f
madeleine,f
madeline,f
manon,f
marc,m
marcel,m
marceline,f
marcelle,f
marcellette,f
marcellin,m
marcelline,f
margot,f
marguerite,f
marianne,f
marie,f
marielle,f
mariette,f
marin,m
marine,f
marise,f
marthe,f
martin,m
martine,f
mathieu,m
mathilde,f
mathis,m
matthieu,m
maurice,m
maxime,m
maximilien,m
maximilienne,f
mélanie,f
mélissa,f
michel,m
michèle,f
micheline,f
michelle,f
mignon,f
mirabelle,f
mireille,f
modeste,m
modestine,m
monique,f
morgaine,f
morgane,f
muriel,f
myriam,f
nadia,f
nadine,f
narcisse,m
natalie,f
nathalie,f
nazaire,m
nicholas,m
nicodème,m
nicolas,m
nicole,f
nicolette,f
ninette,f
ninon,f
noé,m
noel,m
noella,f
noelle,f
noémie,f
océane,f
odette,f
odile,f
olivie,f
olivier,m
olympe,f
onesime,m
oriane,f
orianne,f
osanne,f,m
ouida,f
ozanne,f,m
papillion,m
pascal,m
pascale,f
pascaline,f
paschal,m
patrice,m
paul,m
paule,f
paulette,f
pauline,f
pénélope,f
perceval,m
perrine,f
philbert,m
philibert,m
philippe,m
philippine,f
pierre,m
pierrick,m
placide,f
pons,m
prosper,m
quentin,m
rachel,f
rainier,m
raoul,m
raphaël,m
raymond,m
raymonde,f
rébecca,f
régine,f
régis,m
reine,f
rémi,m
rémy,m
renard,m
renaud,m
rené,m
renée,f
reynaud,m
richard,m
robert,m
roch,m
rochelle,f
rodolph,m
rodolphe,m
rodrigue,m
roger,m
roland,m
rolande,f
romain,m
romaine,f
rosalie,f
rose,f
roselle,f
rosemonde,f
rosette,f
rosine,f
roxane,f
roxanne,f
sabine,f
sacha,m,f
salomé,f
samuel,m
sandrine,f
sarah,f
sébastien,m
sébastienne,f
seraphine,f
serge,m
séverin,m
sévérine,f
sibylle,f
sidonie,f
simon,m
simone,f
solange,f
sophie,f
stéphane,m
stéphanie,f
suzanne,f
suzette,f
sybille,f
sylvain,m
sylvaine,f
sylvestre,m
sylviane,f
sylvianne,f
sylvie,f
tatienne,f
telesphore,m
theirn,m
théo,m
théodore,m
théophile,m
thérèse,f
thibault,m
thierry,m
thomas,m
timothée,m
toinette,f
toussaint,m
tristan,m
ulrich,m
urbain,m
valentine,f
valère,m
valérie,f
valéry,m
vercingetorix,m
véronique,f
vespasien,m
victoire,f
victor,m
victorine,f
vienne,f
vincent,m
violette,f
virginie,f
vivien,f,m
vivienne,f
xavier,m
yanick,m,f
yann,m
yannic,m,f
yannick,m,f
yolande,f
yseult,f
yves,m
yvette,f
yvonne,f
zacharie,m
zephyrine,f
zoé,f
